PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
73.42,71.3,144190.74,10601202.2858,139048.85,9854828.8235,10218877.8777,144117.32,138977.55,10595811.7894,9849745.1335,10215324.2734,10214459.9307,10213643.0317,10596776.2761,9850476.6462,144138.23,138996.47,10598444.9857,9852085.1591,10256471.8888,0.835944519161
75.58,71.71,144416.47,10630220.0801,139240.01,9878757.2463,10245291.2233,144340.89,139168.3,10624507.7437,9873614.9222,10241601.1728,10240632.5829,10239871.3815,10625526.5857,9874288.5441,144361.96,139186.02,10627248.74,9875842.3262,10285269.6584,0.835944519161
72.01,70.4,144605.91,10654767.2571,139412.65,9900384.7083,10268341.4348,144533.9,139342.25,10649581.817,9895428.5483,10264698.9787,10263960.6813,10263271.9308,10650289.58,9896029.9958,144550.53,139359.07,10651700.3127,9897513.8919,10310515.8635,0.835944519161
72.64,69.72,144784.75,10677353.6865,139586.27,9921792.4741,10290331.2506,144712.11,139516.55,10672077.1169,9916931.5957,10286851.5315,10285915.4951,10285266.7898,10672947.2502,9917491.7773,144731.51,139532.82,10674519.1889,9918935.5716,10333917.0793,0.835944519161
73.09,69.99,144956.39,10699089.1151,139754.77,9942667.9265,10311631.4548,144883.3,139684.78,10693746.967,9937769.3264,10308045.8338,10307203.6387,10306515.8857,10694564.3042,9938365.0307,144901.56,139701.64,10696082.7862,9939845.1296,10356256.523,0.835944519161
71.29,70.83,145124.55,10720522.7731,139927.7,9963859.5448,10332953.8955,145053.26,139856.87,10715440.509,9958842.6559,10329288.0324,10328756.8315,10327904.4248,10716107.0708,9959593.72,145069.35,139876.46,10717475.7331,9961234.0072,10379262.5113,0.835944519161
77.89,75.24,145325.8,10746432.4964,140145.32,9991079.73,10359548.4509,145247.91,140070.08,10740365.6443,9985418.6724,10355646.9166,10354828.0759,10353688.0073,10741619.2535,9986455.2816,145272.38,140093.4,10743578.8,9988384.0436,10406640.038,0.835944519161
77.55,74.95,145571.84,10778752.629,140376.66,10020577.7502,10390431.1591,145494.29,140301.71,10772738.6265,10014960.2477,10386557.8784,10385678.7875,10384618.7866,10773972.7183,10015916.9375,145518.56,140323.63,10775913.8706,10017765.5693,10439538.5072,0.835944519161
79.35,74.84,145808.34,10810419.2002,140597.92,10049222.9578,10420546.5238,145728.99,140523.08,10804122.7777,10043621.9322,10416518.6174,10415554.5025,10414607.9698,10805325.3713,10044470.9369,145751.94,140543.07,10807238.2402,10046214.4353,10471749.7393,0.835944519161
76.17,72.02,146007.34,10837270.5062,140783.79,10072783.9783,10445699.608,145931.17,140711.77,10831468.6373,10067597.0979,10441814.9141,10441003.861,10440213.8446,10832344.3514,10068300.5204,145949.53,140730.13,10833928.5101,10069904.5827,10500557.6539,0.835944519161
78.14,76.77,146206.77,10863862.5309,140993.91,10099809.1049,10472534.7179,146128.63,140917.14,10857756.6713,10093915.472,10468378.9145,10467717.19,10466535.9101,10858880.4335,10095001.0017,146150.65,140940.8,10860713.0765,10096988.4328,10528935.2919,0.835944519161
