PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
55.16,55.29,73220.63,2730893.0373,118573.47,7156446.7485,4419528.2894,73174.39,118497.6,2728754.8997,7150690.4916,4416526.7496,4416960.7456,4416020.0606,2729062.0063,7151570.3257,73185.08,118515.86,2729629.2348,7153127.8364,4417480.2539,0.839606716175
44.56,74.46,73322.54,2739080.4314,118769.58,7182357.9274,4434135.024,73277.98,118695.12,2737094.8378,7176813.6358,4431257.5443,4431766.3018,4430817.0864,2737364.5755,7177699.1582,73288.11,118713.95,2737895.0065,7179263.2305,4418363.8665,0.839606716175
44.56,71.72,73430.78,2747454.3392,118938.99,7204072.7311,4447630.2134,73386.22,118867.27,2745468.7456,7198928.9727,4444970.5502,4445253.1601,4444434.3702,2745796.9427,7199597.837,73398.09,118883.08,2746385.7031,7200946.803,4419400.8102,0.839606716175
44.84,72.97,73558.24,2757251.4746,119135.32,7228976.0514,4463262.4256,73513.4,119062.35,2755240.849,7223651.4305,4460571.3967,4460979.0399,4459990.4508,2755595.8256,7224601.9426,73525.99,119082.95,2756211.4121,7226233.4345,4422409.208,0.839606716175
45.38,72.64,73676.82,2766449.1286,119336.85,7254411.7269,4478559.8731,73631.44,119264.21,2764389.7842,7249135.1573,4475813.2746,4476170.291,4475263.4699,2764725.292,7249953.3709,73643.25,119282.48,2765322.1837,7251455.63,4424845.8816,0.839606716175
44.94,71.89,73791.49,2775486.0175,119512.27,7277023.4823,4492863.5736,73746.55,119440.38,2773466.4139,7271855.3102,4490198.5299,4490456.6595,4489632.837,2773810.6527,7272538.5633,73758.78,119456.44,2774416.0734,7273906.4934,4426473.074,0.839606716175
44.71,72.84,73912.65,2784852.0343,119690.38,7299509.792,4507397.9888,73867.94,119617.54,2782853.0502,7294204.1264,4504735.6619,4505123.1961,4504141.3124,2783214.1513,7295147.4338,73880.79,119638.1,2783836.9747,7296776.5936,4428946.165,0.839606716175
43.09,69.07,74042.15,2794651.3517,119879.63,7322681.5813,4522486.9667,73999.06,119810.56,2792794.6036,7317910.9164,4520048.6573,4520396.8406,4519510.7404,2793118.734,7318705.8808,74011.39,119829.68,2793705.1741,7320186.5788,4432478.4162,0.839606716175
45.62,71.41,74186.32,2805575.7778,120082.3,7347045.7992,4538827.9577,74140.7,120010.89,2803494.5934,7341946.4111,4536285.7029,4536548.2179,4535570.2335,2803930.299,7342882.5926,74155.59,120031.91,2804631.4449,7344506.6471,4437471.3082,0.839606716175
45.42,74.53,74349.44,2817947.0102,120314.96,7375733.8036,4557697.5222,74304.02,120240.43,2815884.0338,7370179.0827,4555112.6551,4555500.4711,4554312.3696,2816370.3652,7371452.1068,74320.75,120266.79,2817123.8941,7373413.4547,4443975.6616,0.839606716175
43.25,71.26,74504.42,2829177.6636,120578.64,7407229.1998,4576506.8908,74461.17,120507.38,2827307.1011,7402151.2122,4574066.5146,4574527.8661,4573424.8958,2827697.0108,7403283.8886,74475.75,120532.53,2828355.6947,7405103.0677,4450127.413,0.839606716175
43.31,69.9,74655.22,2839928.1806,120824.59,7436031.8721,4594102.9526,74611.91,120754.69,2838052.4245,7431145.8621,4591763.3303,4592166.0018,4591075.5836,2838469.7684,7432259.8163,74627.44,120780.17,2839156.4522,7434058.7357,4455868.7199,0.839606716175
41.65,69.01,74803.69,2850435.3895,121075.16,7464664.0004,4611450.8145,74762.04,121006.15,2848700.667,7459901.6203,4609130.8402,4609592.1864,4608576.548,2849034.9017,7460895.7889,74775.5,121029.48,2849640.7134,7462577.338,4461668.8613,0.839606716175
40.04,66.12,74939.82,2859780.4526,121294.71,7489244.1013,4626606.0358,74899.78,121228.59,2858177.251,7484872.2469,4624445.8328,4624887.2683,4623958.591,2858469.3467,7485726.5226,74912.53,121250.21,2859035.7085,7487263.8513,4466275.8673,0.839606716175
44.01,67.86,75077.76,2869350.5868,121514.11,7513989.3487,4641990.1858,75033.75,121446.25,2867413.7067,7509384.3691,4639730.6713,4639953.8362,4639003.6672,2867853.6118,7510277.5435,75049.81,121467.92,2868569.3843,7511855.8326,4470869.7481,0.839606716175
46.4,70.66,75260.99,2882518.7621,121761.44,7542410.4042,4661405.2834,75214.59,121690.78,2880365.8021,7537417.5686,4659070.1142,4659236.266,4658126.6594,2880942.8602,7538563.5507,75234.11,121716.55,2881796.2277,7540395.2921,4479217.8725,0.839606716175
45.24,73.2,75445.94,2896113.3992,122030.41,7574048.3213,4682166.0973,75400.7,121957.21,2894066.7416,7568690.0813,4679705.6561,4680100.0845,4678854.5293,2894585.1383,7570047.8575,75418.87,121986.17,2895380.6143,7572091.1437,4487907.8346,0.839606716175
45.11,73.85,75631.82,2909490.4686,122335.4,7610075.7366,4704118.3137,75586.71,122261.55,2907455.5565,7604621.9141,4701685.035,4702066.2988,4700786.9402,2908001.4233,7606032.2769,75606.03,122291.29,2908825.3445,7608130.0445,4496775.7473,0.839606716175
44.04,72.34,75813.12,2922362.3332,122648.41,7646262.2393,4725715.8621,75769.08,122576.07,2920422.8116,7641029.1637,4723282.8736,4723811.4068,4722530.0085,2920878.8077,7642442.8823,75785.76,122606.95,2921613.7636,7644543.3077,4505498.7174,0.839606716175
42.44,67.13,75958.89,2932555.3539,122905.75,7675126.2295,4742886.8599,75916.45,122838.62,2930754.2003,7670619.7926,4740660.2645,4740999.2861,4740037.8627,2931130.2224,7671515.4283,75931.19,122860.75,2931788.0639,7673101.2295,4511293.2326,0.839606716175
