PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
57.61,56.52,153676.48,11998772.234,141088.27,10114598.9783,11014597.0023,153596.47,141015.26,11992370.6339,10109268.5182,11009537.5449,11010355.6216,11008755.4722,11993162.5512,10109961.4106,153615.0,141031.81,11994992.4436,10111411.2467,11011125.8415,0.761817289289
80.38,74.76,153867.31,12025928.4937,141259.06,10136817.8488,11039156.8391,153786.93,141184.3,12019467.5493,10131228.7912,11033997.3349,11034895.1832,11033147.6303,12020333.1336,10132054.3765,153806.59,141202.67,12022241.5753,10133638.0167,11041482.435,0.761817289289
82.86,74.98,154078.95,12056199.3075,141449.6,10161918.6708,11066725.2027,153996.09,141374.62,12049333.5279,10156296.6704,11061666.3006,11062293.2948,11060512.3599,12050524.5315,10157157.7669,154020.29,141393.5,12052758.3119,10158771.4608,11074676.3054,0.761817289289
82.79,73.75,154314.25,12089236.2009,141644.24,10187160.389,11095648.5692,154231.46,141570.49,12082382.0168,10181721.3265,11090670.0747,11091309.1124,11089542.8067,12083546.0302,10182574.5269,154255.26,141589.61,12085756.3808,10184175.9521,11109714.9127,0.761817289289
83.09,75.8,154551.92,12123084.704,141857.14,10214759.7846,11126210.5708,154468.83,141781.34,12116180.7559,10209014.1446,11121018.1366,11121888.5321,11119912.3488,12117320.2534,10210053.5839,154492.12,141803.15,12119508.664,10211844.8645,11146622.7042,0.761817289289
83.92,76.65,154787.78,12157198.428,142068.79,10242706.1983,11157087.0297,154703.86,141992.14,12150155.8616,10236830.9758,11151738.5424,11152595.3735,11150654.5617,12151268.6114,10237837.5962,154726.42,142013.01,12153433.3784,10239594.7899,11183612.053,0.761817289289
82.0,76.68,155017.98,12190358.4504,142282.04,10271182.3842,11187819.0834,154935.98,142205.36,12183634.4504,10265302.5618,11182533.1025,11183454.8628,11181531.3234,12184659.3655,10266293.9141,154957.81,142225.92,12186738.0215,10268032.9298,11219480.3787,0.761817289289
81.26,76.74,155233.72,12220804.0814,142497.65,10299463.0519,11217186.0526,155152.46,142420.91,12214200.8938,10293574.0243,11211821.0789,11213000.2521,11210950.1602,12215081.0999,10294680.357,155172.17,142443.56,12217015.6789,10296537.3238,11252953.8018,0.761817289289
79.15,74.91,155400.44,12244539.1034,142675.78,10322853.2224,11240813.221,155321.29,142600.87,12238274.3809,10317241.7143,11235497.6171,11236445.0508,11234884.0945,12238874.5027,10317901.3553,155337.15,142616.26,12240533.4793,10319310.592,11280053.6681,0.761817289289
76.19,71.15,155539.0,12263913.5078,142814.33,10341109.5201,11259629.077,155462.81,142743.18,12258108.5917,10336047.1976,11254617.8475,11255591.0476,11254208.1585,12258494.4008,10336536.459,155475.97,142756.61,12259940.7269,10337777.9217,11302074.8138,0.761817289289
76.32,70.43,155656.59,12280510.4995,142935.64,10356836.8932,11275811.5803,155580.27,142865.21,12274685.7571,10351876.5083,11270826.8099,11271691.356,11270436.3627,12275046.9881,10352250.1831,155593.0,142876.8,12276466.8114,10353374.7476,11322420.9474,0.761817289289
78.43,71.12,155781.42,12298209.662,143043.3,10370768.9882,11291518.5358,155702.99,142972.18,12292058.3971,10365710.9338,11286304.4026,11287196.8738,11285940.5942,12292394.8692,10366082.4346,155714.93,142983.61,12293788.7419,10367206.0921,11343316.5961,0.761817289289
