PriceX,PriceY,sumX,sumXsqr,sumY,sumYsqr,sumXY,sumXlag,sumYlag,sumXsqrlag,sumYsqrlag,sumX_lagY,sumY_lagX,sumXY_lag,sumX_lagX,sumY_lagY,sumXprec,sumYprec,sumXsqrprec, sumYsqrprec,sumXYprec,gamma
57.57,55.55,143474.97,10524575.6809,112335.68,6446993.8288,8235571.4495,143371.67,112255.58,10513904.7909,6440577.8188,8229952.0051,8230646.449,8227297.1195,10517318.5094,6442683.656,143420.95,112293.34,10521657.5205,6445201.1532,8233284.2427,0.804214226854
104.71,83.04,144002.88,10607553.1024,112740.45,6496821.7569,8299873.7376,143898.17,112657.41,10596588.9183,6489926.1153,8294063.9154,8294933.9783,8291178.6192,10600292.3915,6492348.9578,143951.64,112699.99,10604927.5648,6495184.7453,8322159.5868,0.804214226854
100.84,78.49,144525.24,10686398.5472,113145.79,6545817.3015,8362034.7986,144424.4,113067.3,10676229.8416,6539656.6214,8356752.5528,8357490.7909,8354119.867,10679612.8905,6541774.6743,144475.59,113106.94,10683933.4247,6544307.979,8405688.8661,0.804214226854
104.04,78.92,145031.09,10763436.3721,113541.47,6592527.8795,8422016.5289,144927.05,113462.55,10752612.0505,6586299.5131,8416647.4309,8417144.3482,8413805.6921,10756258.9948,6588394.1228,144980.3,113501.17,10760856.748,6590903.7895,8488506.9045,0.804214226854
106.29,81.84,145564.45,10846665.8535,113943.36,6641358.4968,8485772.2851,145458.16,113861.52,10835368.2894,6634660.7112,8480124.1306,8480737.3703,8477073.5115,10839282.2581,6637003.8963,145514.37,113903.42,10844157.8471,6639763.2932,8577270.0402,0.804214226854
103.27,81.22,146108.89,10930613.2735,114366.81,6692755.9217,8551453.5222,146005.62,114285.59,10919948.5806,6686159.2333,8545897.5718,8546713.6046,8543065.9328,10923576.2305,6688488.0945,146059.5,114327.79,10928173.9014,6691233.3613,8666447.9123,0.804214226854
104.7,81.92,146656.51,11015938.5197,114788.94,6743870.665,8617488.2591,146551.81,114707.02,11004976.4297,6737159.7786,8611806.1127,8612578.4915,8608911.2351,11008681.0069,6739501.8393,146605.79,114748.81,11013366.0013,6742260.2481,8757270.2272,0.804214226854
103.5,82.19,147176.71,11096263.5101,115210.22,6795579.1958,8681937.2518,147073.21,115128.03,11085551.2601,6788823.9997,8676151.2168,8677100.5626,8673430.5868,11089037.3927,6791164.6329,147124.23,115169.52,11093509.3597,6793922.7058,8843076.7389,0.804214226854
109.24,83.71,147702.77,11180855.5937,115629.45,6847831.4071,8748422.4332,147593.53,115545.74,11168922.2161,6840824.043,8742379.5085,8743012.5902,8739277.9528,11172884.9821,6843217.1744,147647.94,115586.98,11177849.2648,6846027.7062,8934359.4878,0.804214226854
107.19,85.01,148235.74,11268738.2108,116044.0,6900706.2204,8816583.8057,148128.55,115958.99,11257248.5147,6893479.5203,8810315.9182,8811308.5178,8807471.5838,11260878.8224,6895951.8024,148179.0,116000.82,11265518.7832,6898841.708,9029232.5299,0.804214226854
113.14,86.59,148732.82,11352435.2566,116437.72,6952018.2928,8882118.1612,148619.68,116351.13,11339634.597,6944520.4647,8875477.912,8876111.7606,8872321.3686,11343658.7223,6946960.1775,148671.77,116390.78,11348708.1541,6949814.9292,9120706.2205,0.804214226854
110.9,86.83,149226.51,11437391.1171,116831.48,7004867.2334,8949131.0469,149115.61,116744.65,11425092.3071,6997327.7845,8942466.2697,8943243.4128,8939501.5999,11428867.741,6999729.0985,149165.51,116783.3,11433670.1171,7002545.921,9214144.1163,0.804214226854
106.29,84.87,149691.54,11515847.5766,117208.41,7055243.1901,9011996.2745,149585.25,117123.54,11504550.0125,7048040.2732,9005537.7818,9006524.6508,9002975.4422,11507811.3723,7050287.6695,149630.41,117160.53,11512110.6997,7052950.6957,9300614.8199,0.804214226854
106.64,84.53,150144.92,11592709.4136,117565.9,7102562.0136,9072300.018,150038.28,117481.37,11581337.324,7095416.6927,9065816.9758,9066736.5909,9063285.7388,11584555.9616,7097585.5289,150082.56,117517.0,11588820.644,7100170.8036,9385913.512,0.804214226854
103.19,83.02,150598.03,11667878.9935,117922.49,7150008.5687,9132027.6068,150494.84,117839.47,11657230.8174,7143116.2483,9125928.5414,9126858.0637,9123460.773,11660360.111,7145246.5374,150540.3,117875.41,11664546.2406,7147792.0423,9468428.202,0.804214226854
103.94,82.19,151075.82,11744926.019,118295.29,7197683.0709,9192636.9268,150971.88,118213.1,11734122.4954,7190927.8748,9186688.1057,9187605.7906,9184094.0982,11737399.0748,7193148.617,151019.44,118251.72,11741747.3146,7195784.726,9552215.1843,0.804214226854
102.4,80.92,151534.21,11818165.3505,118656.14,7243015.7644,9250251.3919,151431.81,118575.22,11807679.5905,7236467.718,9244368.7449,9245217.6508,9241965.1839,11810716.13,7238479.1494,151476.5,118610.22,11814834.9064,7240907.118,9632202.7153,0.804214226854
97.55,80.15,151966.24,11886569.503,119002.16,7286690.3326,9304906.0162,151868.69,118922.01,11877053.5005,7280266.3101,9299161.9076,9300271.7452,9297087.3837,11879677.785,7282225.291,151909.85,118956.44,11883389.6709,7284600.0142,9707431.4064,0.804214226854
96.44,77.19,152370.68,11948902.7604,119326.45,7326370.8279,9354632.7596,152274.24,119249.26,11939602.0868,7320412.5318,9349162.534,9350109.4706,9347188.556,11942100.5529,7322156.1289,152314.01,119281.13,11945691.2715,7324316.9255,9776528.708,0.804214226854
98.23,78.18,152782.19,12013528.2249,119648.6,7366165.3902,9405342.8637,152683.96,119570.42,12003879.092,7360053.2778,9399672.5059,9400611.8822,9397663.2423,12006422.9419,7361817.6815,152723.32,119602.07,12010062.548,7364000.3493,9848102.9221,0.804214226854
96.03,76.39,153165.37,12073450.7621,119955.64,7404293.9094,9453139.6243,153069.34,119879.25,12064229.0012,7398458.4773,9447655.5865,9448573.7566,9445803.8926,12066571.7506,7400079.6295,153106.78,119909.01,12070017.974,7402119.5525,9915282.4393,0.804214226854
93.14,74.14,153533.6,12129100.5386,120249.15,7439885.5929,9497648.5962,153440.46,120175.01,12120425.479,7434388.8533,9492393.1688,9493407.5072,9490743.1966,12122514.8425,7435927.1562,153475.34,120204.41,12125706.311,7437883.9253,9977463.3807,0.804214226854
97.27,73.53,153895.47,12184548.8911,120530.88,7473572.1716,9540861.9899,153798.2,120457.35,12175087.4382,7468165.5107,9535652.0475,9536236.2771,9533709.7268,12177550.4058,7469595.807,153836.95,120484.75,12181124.3007,7471444.1947,10040314.9023,0.804214226854
